# https://api.nanocrawler.cc/ and whois results
# Nano
IP Address|Version|Protocol Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Node Account
167.86.66.13|Nano V22.0|18|51167|167.86.66.0/23|DE|ripencc|1993-05-14|CONTABO, DE|nano_18shbirtzhmkf7166h39nowj9c9zrpufeg75bkbyoobqwf1iu3srfm9eo3pz
167.86.90.31|Nano V21.2|18|51167|167.86.90.0/23|DE|ripencc|1993-05-14|CONTABO, DE|nano_1tpqncif5ep6txhowgyhyemza3sbwm5r5rcq7dtetxey1aucbiy4bhhwbeud
167.99.25.253|Nano V22.1|18|14061|167.99.24.0/22|US|arin|2017-11-10|DIGITALOCEAN-ASN, US|nano_16d3mdshcfqayyx8rd9ioimjiicrma743qpd86ohfs9kdzgejmnba1zifo8m
172.67.167.244|Nano V22.1|18|13335|172.67.160.0/20|US|arin|2015-02-25|CLOUDFLARENET, US|nano_3grayknbwtrjdsbdgsjbx4fzds7eufjqghzu6on57aqxte7fhhh14gxbdz61
172.67.175.184|Nano V22.1|18|13335|172.67.160.0/20|US|arin|2015-02-25|CLOUDFLARENET, US|nano_1f56swb9qtpy3yoxiscq9799nerek153w43yjc9atoaeg3e91cc9zfr89ehj
173.249.53.54|Nano V22.1|18|51167|173.249.52.0/23|DE|ripencc|2010-05-26|CONTABO, DE|nano_3afmp9hx6pp6fdcjq96f9qnoeh1kiqpqyzp7c18byaipf48t3cpzmfnhc1b7
173.70.214.221|Nano V22.1|18|701|173.70.0.0/16|US|arin|2008-08-11|UUNET, US|nano_3ekb6tp8ixtkibimyygepgkwckzhds9basxd5zfue4efjnxaan77gsnanick
182.55.49.221|Nano V22.1|18|55430|182.55.48.0/20|SG|apnic|2010-03-01|STARHUB-NGNBN Starhub Ltd, SG|nano_14mp1ua4oi45rxosft3d8qe4g6a1u1srma59jg85ax6s8zuwhi4yzgdnqhz3
184.144.210.178|Nano V22.1|18|577|184.144.0.0/16|CA|arin|2010-04-12|BACOM, CA|nano_1ucomfwio3cem5ods9pors7yo6uyq3g4drmwpz3q9fso34684skpckz94y16
193.41.237.131|Nano V22.1|18|58212|193.41.237.0/24|DE|ripencc|2019-11-14|PHP-FRIENDS, DE|nano_1ninja7rh37ehfp9utkor5ixmxyg8kme8fnzc4zty145ibch8kf5jwpnzr3r
195.154.165.206|Nano V22.1|18|12876|195.154.0.0/16|FR|ripencc|1996-08-27|Online SAS, FR|nano_1hispanocq7ow8azrs3mirsccebuh5e3pfk8pkfzfafbyooezpsnwiuizjcu
2.56.98.216|Nano V22.0||197540|2.56.96.0/22|DE|ripencc|2019-03-13|NETCUP-AS netcup GmbH, DE|xrb_1fnx59bqpx11s1yn7i5hba3ot5no4ypy971zbkp5wtium3yyafpwhhwkq8fc
2.59.133.106|Nano V22.1|18|58212|2.59.132.0/22|DE|ripencc|2019-03-26|PHP-FRIENDS, DE|nano_1my1snode8rwccjxkckjirj65zdxo6g5nhh16fh6sn7hwewxooyyesdsmii3
202.61.242.99|Nano V22.0|18|197540|202.61.240.0/20|AT|ripencc|2003-07-07|NETCUP-AS netcup GmbH, DE|nano_3gbtckoi8mq8n691kzmk7bw7fypuaejndo3ughk1ojg5nbji57bdmnxs6rm3
213.136.77.111|Nano V22.1|18|51167|213.136.76.0/23|DE|ripencc|2000-02-28|CONTABO, DE|nano_1just1zdsnke856mu5pmed1qdkzk6adh3d13iiqr3so66sr8pbcnh15bdjda
213.171.211.207|Nano V22.1|18|8560|213.171.192.0/19|GB|ripencc|2000-05-10|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE|nano_19qo4gtzpoyqf6zzezbcuazcsxtqtdin5qbtk8jkoz4fdmq4ssagn3u1odhz
217.160.65.156|Nano V22.1|18|8560|217.160.0.0/16|DE|ripencc|2001-03-07|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE|nano_1tk8h3yzkibbsti8upkfa69wqafz6mzfzgu8bu5edaay9k7hidqdunpr4tb6
37.191.207.40|Nano V22.1|18|57963|37.191.128.0/17|NO|ripencc|2012-03-21|LYNET-INTERNETT-AS, NO|nano_1jtx5p8141zjtukz4msp1x93st7nh475f74odj8673qqm96xczmtcnanos1o
45.129.180.39|Nano V22.1|18|197540|45.129.180.0/22|DE|ripencc|2019-07-16|NETCUP-AS netcup GmbH, DE|nano_3caprkc56ebsaakn4j4n7g9p8h358mycfjcyzkrfw1nai6prbyk8ihc5yjjk
49.12.110.137|Nano V22.1|18|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE|nano_3strnmn7h9b7oghxa6h9ckrpf5r454fsobpicixps6xwiwc5q4hat7wjbpqz
51.81.73.179|Nano V22.0|18|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR|nano_3ewhro1uzpbgjztkc5t3yawcqw7mz4acp519m4b7qw14t58t67gndaxswxad
62.171.182.107|Nano V22.1|18|51167|62.171.182.0/23|DE|ripencc|2000-08-18|CONTABO, DE|nano_3kc8wwut3u8g1kwa6x4drkzu346bdbyqzsn14tmabrpeobn8igksfqkzajbb
65.21.104.141|Nano V22.1|18|24940|65.21.0.0/16|DE|ripencc|2001-09-26|HETZNER-AS, DE|nano_1zuksmn4e8tjw1ch8m8fbrwy5459bx8645o9euj699rs13qy6ysjhrewioey
67.205.189.200|V22.0||14061|67.205.176.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US|nano_1isgusmnf1xe45iyjtfxw4qiai36zxdituu7gpni1trtj5ojyujobq13bjah
77.33.36.44|Nano V22.1|18|44869|77.33.0.0/16|DK|ripencc|2006-12-13|FIBIA-P-S, DK|nano_318uu1tsbios3kp4dts5b6zy1y49uyb88jajfjyxwmozht8unaxeb43keork
77.68.79.97|Nano V22.1|18|8560|77.68.0.0/17|GB|ripencc|2007-02-07|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE|nano_1p1wyypbumuunbaes3aigpif1uxzofe9souz38puh7be3rh19hhxoqcp69c3
77.68.83.129|Nano V22.1|18|8560|77.68.0.0/17|GB|ripencc|2007-02-07|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE|nano_1oo6are9fetyyp61h139rfhmj8fk9t16y7xqg1bndrgaex8xjmprfd8su4ep
77.68.91.120|Nano V22.1|18|8560|77.68.0.0/17|GB|ripencc|2007-02-07|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE|nano_1b9wguhh39at8qtm93oghd6r4f4ubk7zmqc9oi5ape6yyz4s1gamuwn3jjit
77.72.193.181|Nano V22.1|18|12835|77.72.192.0/21|IT|ripencc|2007-02-19|TRENTINODIGITALE-AS, IT|nano_1wcxcjbwnnsdpee3d9i365e8bcj1uuyoqg9he5zjpt3r57dnjqe3gdc184ck
82.64.100.254|Nano V22.1|18|12322|82.64.0.0/14|FR|ripencc|2003-04-03|PROXAD, FR|nano_1aoxwfsmu6wazes9jq4xu695jx5txa3qrrfsrg4w4uk35bhmxkn378fwebng
85.214.214.114|Nano V22.0|18|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE|nano_1bbpmnm69yireu5ehmkt1mi43dnkcfhaam6jsbmwqmgqh1q1mftpdd6c68ew
94.16.111.227|Nano V22.1|18|197540|94.16.108.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE|nano_1bd41riiaeeh61wf4xxryra999i9jngrxhjim43abgyo1ey4doxoktu1nyyn
94.237.111.22|Nano V22.1|18|202053|94.237.108.0/22|FI|ripencc|2008-10-22|UPCLOUD, FI|nano_1ec5optppmndqsb3rxu1qa4hpo39957s7mfqycpbd547jga4768o6xz8gfie
95.216.206.138|Nano V22.1|18|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE|nano_3tta9pdxr4djdcm6r3c7969syoirj3dunrtynmmi8n1qtxzk9iksoz1gxdrh
95.216.220.194|Nano V22.1|18|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE|nano_15nt4cis8ac184q9mj7bedww9ay9zh5jk5k7sj9ypmz44twjcpz3cn6oijir
95.217.197.116|Nano V22.1|18|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE|nano_18xwtze8sgprtd1jg917uaersr1nqwubqqsw5kabk1yygjsbwy3jb44d9bkz
95.217.44.118|Nano V22.1|18|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE|nano_1fe17w13stn8rqos3nxmupoez9sne4pc4njmr1fbz9nci6obnng6jatton5q
